# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/FNV3_1_36A.gff" "-o" "../data/rna_align/counttable_fnv_tRNAs.txt" "../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam" "../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam" "../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam" "../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam" "../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam" "../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam" "../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam" "../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam" "../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam" "../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam" "../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam" "../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam" "../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam" "../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam" "../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam" "../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam" "../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam" "../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam	../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam	../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam	../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam	../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam	../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam	../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam	../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam	../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam	../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam	../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam	../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam	../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam	../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam	../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam	../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam	../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam	../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam
HMPREF0946_RS10315	NC_022196.1	2152102	2152186	+	85	9325	4516	9541	6533	5897	8666	5026	5194	5868	3996	4705	7132	3913	2812	3535	4362	3497	4248
HMPREF0946_RS01240	NC_022196.1	245879	245966	+	88	40162	24926	36323	40941	31786	46746	26169	31432	28936	5365	7927	9743	6778	4567	6760	8078	6496	6649
HMPREF0946_RS01245	NC_022196.1	245974	246050	+	77	28400	12579	25917	16456	14334	20446	13391	14542	6264	21923	43419	60523	29179	17738	26498	40626	23491	35353
HMPREF0946_RS01250	NC_022196.1	246075	246150	+	76	825	348	708	496	444	617	389	312	292	589	1134	1437	876	527	685	1105	726	1002
HMPREF0946_RS01255	NC_022196.1	246160	246235	+	76	747	300	627	353	290	542	294	284	67	178	529	553	389	251	358	582	315	446
HMPREF0946_RS01260	NC_022196.1	246244	246320	+	77	17151	9104	21724	11717	9614	15641	8070	9911	5050	10011	20192	31645	15293	8729	13363	25428	15767	21128
HMPREF0946_RS01265	NC_022196.1	246329	246406	+	78	1589	957	1954	1201	1018	1368	798	855	98	1427	1939	3246	1538	1126	1817	3277	2311	2406
HMPREF0946_RS01270	NC_022196.1	246422	246496	+	75	2801	1311	2314	1919	1597	2277	1624	1802	1699	1436	1766	2393	1537	790	1280	2129	1171	1624
HMPREF0946_RS01275	NC_022196.1	246498	246581	+	84	1087	620	1206	823	682	988	578	644	366	1755	2194	3800	1826	1303	2235	3206	2475	2578
HMPREF0946_RS01280	NC_022196.1	246601	246676	+	76	236	116	147	144	142	157	139	124	203	42	67	107	62	37	52	95	40	70
HMPREF0946_RS01285	NC_022196.1	246693	246768	+	76	909	475	651	502	424	470	348	302	515	412	602	877	474	319	458	564	371	540
HMPREF0946_RS01290	NC_022196.1	246778	246854	+	77	11978	5874	11443	8327	7668	10343	5271	5707	7733	1828	4040	6651	2674	1394	1905	4012	2038	3668
HMPREF0946_RS03340	NC_022196.1	708397	708472	+	76	11720	5867	14324	7691	6272	10362	5334	6412	1056	19492	28222	40794	25504	15662	18086	29791	19312	27171
HMPREF0946_RS03375	NC_022196.1	714069	714145	+	77	396	197	436	295	217	308	195	234	112	1388	981	2518	740	449	472	1116	875	1015
HMPREF0946_RS03380	NC_022196.1	714205	714281	+	77	2250	1190	2091	1109	912	1807	808	931	1441	3713	5794	6770	3693	2635	2888	4243	2478	3655
HMPREF0946_RS03385	NC_022196.1	714290	714376	+	87	2780	1382	3042	1796	1508	2571	1257	1514	1594	1847	2662	4007	1816	1114	1854	3047	2226	2534
HMPREF0946_RS10410	NC_022196.1	2171436	2171511	-	76	2378	1563	2626	2071	2200	2450	1259	1511	768	629	1379	2590	796	423	513	918	529	1003
HMPREF0946_RS10425	NC_022196.1	2174692	2174768	-	77	3721	1423	5049	3866	3813	4165	2282	2137	1620	4378	13266	16143	7181	4158	4490	6118	3660	8209
HMPREF0946_RS10430	NC_022196.1	2174772	2174848	-	77	18721	10339	21187	12659	10117	15131	8637	9623	1085	12716	24368	34309	17229	10876	14424	27062	17245	23163
HMPREF0946_RS10510	NC_022196.1	2194920	2194995	-	76	6819	2610	5537	4301	4155	4855	3518	3478	2362	3260	7415	7365	5388	2927	4401	6837	4257	6415
