# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "5" "-t" "CDS,ncRNA" "-g" "id" "-a" "../data/reference_sequences/FNV3_1_36A.gff" "-o" "../data/rna_align/counttable_fnv.txt" "../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam" "../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam" "../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam" "../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam" "../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam" "../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam" "../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam" "../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam" "../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam" "../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam" "../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam" "../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam" "../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam" "../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam" "../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam" "../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam" "../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam" "../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam	../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam	../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam	../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam	../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam	../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam	../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam	../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam	../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam	../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam	../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam	../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam	../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam	../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam	../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam	../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam	../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam	../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam
HMPREF0946_RS00110	NC_022196.1	24257	25234	-	978	228	267	351	259	399	338	140	126	162	1393	1522	1204	1574	1150	809	472	574	607
HMPREF0946_RS00115	NC_022196.1	25303	27201	-	1899	705	378	476	933	886	1128	717	790	875	93	295	101	279	167	164	103	130	113
HMPREF0946_RS00120	NC_022196.1	27227	28132	-	906	46	49	57	80	67	100	35	49	30	118	238	52	263	168	123	76	136	146
HMPREF0946_RS00125	NC_022196.1	28142	29635	-	1494	122	94	141	106	156	145	75	72	56	530	637	461	732	472	356	195	225	250
HMPREF0946_RS00130	NC_022196.1	29981	30358	-	378	8022	5497	6910	5012	5439	7964	3554	4549	6977	7800	11079	12302	9145	5117	6391	6571	6824	6715
HMPREF0946_RS00135	NC_022196.1	30498	31271	+	774	196	303	398	349	498	402	169	162	158	544	781	406	831	557	352	256	220	274
HMPREF0946_RS00140	NC_022196.1	31403	31969	+	567	50	46	56	59	64	44	49	31	18	1050	404	751	438	302	207	114	120	145
HMPREF0946_RS00145	NC_022196.1	31969	32151	+	183	1	6	2	2	7	8	2	0	3	27	12	26	19	6	14	8	15	9
HMPREF0946_RS00150	NC_022196.1	32411	33655	+	1245	35	31	43	34	45	34	17	28	18	77	127	68	83	59	48	26	45	55
HMPREF0946_RS00155	NC_022196.1	33652	34692	+	1041	90	25	37	73	76	96	53	73	29	71	123	64	101	49	46	49	87	65
HMPREF0946_RS00160	NC_022196.1	34919	35395	+	477	6	24	8	9	7	22	14	6	15	13	35	28	23	21	14	6	11	17
HMPREF0946_RS00165	NC_022196.1	35380	35880	+	501	500	415	434	493	437	486	208	237	297	705	1851	1362	1491	962	920	864	1136	1025
HMPREF0946_RS00170	NC_022196.1	36156	36569	+	414	5	1	5	9	4	6	0	8	3	4	10	1	5	6	3	3	4	3
HMPREF0946_RS00175	NC_022196.1	36571	37137	+	567	20	7	7	15	10	12	5	5	5	5	8	3	13	5	5	2	2	7
HMPREF0946_RS00180	NC_022196.1	37106	37664	+	559	33	28	25	50	37	72	28	53	28	14	24	14	24	16	20	13	10	16
HMPREF0946_RS00185	NC_022196.1	37657	38826	+	1170	11	17	19	27	27	47	16	22	10	33	90	47	88	48	53	46	62	56
HMPREF0946_RS00190	NC_022196.1	39050	39871	+	822	23	21	17	45	44	41	34	32	29	14	36	21	28	15	13	13	18	11
HMPREF0946_RS00195	NC_022196.1	40102	41649	+	1548	36	19	34	85	121	62	31	33	20	22	30	15	28	22	19	21	19	14
HMPREF0946_RS10970	NC_022196.1	41860	43101	+	1242	111	188	217	144	286	237	105	98	46	296	320	213	387	256	202	105	86	122
HMPREF0946_RS00205	NC_022196.1	43391	43675	+	285	2686	5491	6331	4259	6554	6047	2594	2215	1414	5156	5544	3654	6411	4051	2924	1981	1743	2225
HMPREF0946_RS00210	NC_022196.1	43756	44475	-	720	156	179	247	237	300	217	124	127	110	604	1164	643	1073	591	494	443	456	600
HMPREF0946_RS00215	NC_022196.1	44579	45169	+	591	207	263	174	171	294	266	87	89	114	474	960	568	852	616	647	349	395	366
HMPREF0946_RS00220	NC_022196.1	45330	46964	+	1635	1312	1012	1040	1353	1307	1839	1003	1260	1654	1696	935	1381	956	647	576	352	379	369
nhaC	NC_022196.1	47097	48524	-	1428	157	138	150	202	201	241	106	141	113	71	99	52	100	99	56	45	52	54
HMPREF0946_RS00230	NC_022196.1	48720	49253	-	534	82	135	174	129	146	140	39	71	45	145	221	122	249	161	140	91	71	81
HMPREF0946_RS00235	NC_022196.1	49265	50332	-	1068	260	297	398	349	395	325	142	195	186	833	1297	711	1509	1020	887	692	648	684
HMPREF0946_RS00240	NC_022196.1	50503	52665	+	2163	265	273	365	385	413	452	190	235	162	599	930	480	990	730	497	271	282	365
HMPREF0946_RS00245	NC_022196.1	52691	55111	+	2421	562	609	720	859	962	1017	467	492	310	1733	2375	1569	2314	1544	1224	757	893	1026
ileS	NC_022196.1	55108	57909	+	2802	300	311	460	419	462	565	220	241	171	904	1720	790	1653	1146	807	510	569	694
lspA	NC_022196.1	57918	58376	+	459	21	39	43	30	50	55	14	34	21	126	173	109	215	140	124	84	70	79
glyQ	NC_022196.1	58380	59252	+	873	166	168	214	199	262	238	110	141	111	322	535	285	548	299	263	199	228	292
HMPREF0946_RS00265	NC_022196.1	59484	61544	+	2061	357	325	358	372	466	475	254	320	170	667	1291	565	1223	805	597	359	390	449
folE	NC_022196.1	61565	62116	+	552	360	286	419	417	413	499	285	303	364	1511	3347	1709	3233	2071	1968	1519	1656	1767
folK	NC_022196.1	62501	63325	+	825	60	58	50	43	50	74	45	32	35	87	179	58	166	121	71	54	62	64
folP	NC_022196.1	63312	64139	+	828	113	147	111	113	194	179	70	72	70	228	528	164	600	386	311	173	166	204
HMPREF0946_RS00285	NC_022196.1	64146	64493	+	348	7	7	6	7	4	7	3	4	7	0	0	0	2	2	0	1	0	0
HMPREF0946_RS00290	NC_022196.1	64496	64933	+	438	2	1	1	9	7	11	4	7	0	6	4	4	14	4	3	5	2	4
HMPREF0946_RS00295	NC_022196.1	64923	65501	+	579	18	6	8	6	10	9	10	8	9	4	6	8	6	0	3	4	4	1
HMPREF0946_RS00300	NC_022196.1	65501	66889	+	1389	41	9	24	40	25	50	27	24	20	3	7	8	8	3	6	3	9	7
eutA	NC_022196.1	67273	68703	+	1431	71	34	41	99	85	90	71	95	56	6	4	5	19	8	10	7	17	8
HMPREF0946_RS00310	NC_022196.1	68730	70097	+	1368	257	104	102	433	362	417	248	374	166	7	16	8	26	13	36	29	30	9
eutC	NC_022196.1	70109	70996	+	888	25	20	23	46	36	54	22	39	22	9	11	3	9	9	9	12	6	5
eutL	NC_022196.1	71199	71852	+	654	48	38	41	82	72	92	47	60	45	5	12	8	16	5	5	4	8	3
HMPREF0946_RS00325	NC_022196.1	71863	72309	+	447	38	27	26	71	38	72	30	42	19	6	5	6	2	4	7	8	11	2
eutM	NC_022196.1	72334	72624	+	291	3795	1882	2327	8126	6525	9055	5340	6212	2526	80	199	172	378	216	505	419	520	255
HMPREF0946_RS00335	NC_022196.1	72973	74421	+	1449	55	32	31	41	47	73	50	57	47	32	20	40	30	19	22	28	18	27
HMPREF0946_RS00340	NC_022196.1	74719	75486	+	768	11	9	6	15	14	31	16	12	4	9	12	15	8	5	13	11	2	6
HMPREF0946_RS00345	NC_022196.1	75486	76076	+	591	2	5	8	4	9	5	1	2	2	3	2	3	3	2	4	5	1	4
HMPREF0946_RS00350	NC_022196.1	76078	76332	+	255	7	1	7	8	10	11	6	3	7	1	4	1	5	1	1	0	1	2
HMPREF0946_RS00355	NC_022196.1	76342	76677	+	336	13	3	12	14	39	16	9	8	5	0	2	2	2	0	0	0	3	0
eutH	NC_022196.1	76677	77759	+	1083	32	22	39	64	58	47	54	50	50	13	19	15	13	7	13	15	12	12
HMPREF0946_RS00365	NC_022196.1	77770	78219	+	450	8	9	11	7	8	12	8	19	4	0	2	3	4	1	2	3	12	4
HMPREF0946_RS00370	NC_022196.1	78243	79340	+	1098	62	52	51	35	65	101	38	73	34	39	93	61	117	54	56	45	65	51
HMPREF0946_RS00375	NC_022196.1	79362	80477	+	1116	24	26	32	54	30	70	28	41	14	73	165	69	173	96	68	62	63	92
trxA	NC_022196.1	80616	80927	+	312	37867	79072	97337	71590	91363	83883	31824	31482	17008	2135	5772	1803	7436	3760	2478	1744	1881	1894
HMPREF0946_RS00400	NC_022196.1	86208	86678	+	471	133	110	185	115	141	167	71	69	61	513	674	484	724	539	399	202	215	250
nusA	NC_022196.1	86706	87779	+	1074	163	184	234	289	224	342	124	170	88	425	514	280	560	415	247	146	146	168
HMPREF0946_RS00410	NC_022196.1	87772	88302	+	531	21	30	17	21	32	28	12	19	7	44	37	25	52	24	21	7	10	12
infB	NC_022196.1	88299	90542	+	2244	320	264	335	435	431	444	235	308	174	477	657	313	708	466	326	207	210	252
rbfA	NC_022196.1	90557	90919	+	363	64	69	58	60	50	121	30	44	30	159	293	139	352	237	183	140	157	136
recJ	NC_022196.1;NC_022196.1	90928;1632917	92592;1635451	+;-	4200	326	259	331	392	507	483	270	234	130	1053	2668	990	2891	1764	1673	1060	1140	1177
tig	NC_022196.1	92608	93903	+	1296	1158	694	568	1371	1462	1742	991	1205	630	626	1212	778	1304	899	874	648	573	660
clpP	NC_022196.1	94414	94995	+	582	93	182	227	125	188	184	68	93	57	379	639	322	619	484	339	209	231	253
clpX	NC_022196.1	95007	96278	+	1272	625	476	500	824	727	904	525	619	474	310	472	276	493	347	271	166	193	194
lon	NC_022196.1	96288	98594	+	2307	565	482	487	828	694	888	479	551	283	462	681	376	729	489	367	255	260	321
HMPREF0946_RS00450	NC_022196.1	98610	99194	+	585	598	581	661	490	860	655	357	235	300	1461	2508	1547	2455	1482	1467	1055	1185	1350
HMPREF0946_RS00455	NC_022196.1	99276	100202	+	927	86	71	102	99	97	112	54	48	42	91	192	168	230	113	121	220	213	215
HMPREF0946_RS00460	NC_022196.1	100220	101089	+	870	64	37	83	267	322	138	84	73	40	69	119	79	92	70	41	29	32	37
HMPREF0946_RS00465	NC_022196.1	101119	103782	+	2664	539	533	607	683	661	782	428	520	326	544	1320	535	1334	852	680	580	489	562
HMPREF0946_RS00470	NC_022196.1	103915	104397	+	483	35	107	140	88	148	117	52	34	25	27	63	11	75	42	26	26	20	17
HMPREF0946_RS00475	NC_022196.1	104357	105898	+	1542	110	117	227	162	220	215	86	79	66	52	112	39	150	59	51	34	49	67
HMPREF0946_RS00480	NC_022196.1	105898	106620	+	723	36	40	78	56	70	80	33	40	26	33	58	16	49	31	20	16	12	12
HMPREF0946_RS00485	NC_022196.1	106634	107185	+	552	72	76	54	98	106	112	69	47	34	5	34	19	48	22	21	30	26	17
HMPREF0946_RS00490	NC_022196.1	107130	107933	-	804	335	421	572	519	618	698	261	299	233	168	840	215	837	471	306	319	433	465
HMPREF0946_RS00495	NC_022196.1	108063	108878	-	816	510	311	428	624	568	707	371	553	407	113	270	75	269	169	152	111	140	115
HMPREF0946_RS00500	NC_022196.1	108862	109656	-	795	70	73	90	81	109	99	47	35	27	90	256	89	247	194	135	88	121	114
HMPREF0946_RS00505	NC_022196.1	109666	110214	-	549	141	180	198	166	217	210	81	90	103	269	549	211	553	373	284	213	220	225
HMPREF0946_RS00510	NC_022196.1	110531	112336	+	1806	506	652	826	665	874	822	327	449	349	1880	4311	1813	4603	3232	2549	1764	2150	1886
HMPREF0946_RS00515	NC_022196.1	112329	112889	+	561	179	308	215	258	334	322	161	169	120	335	807	296	956	645	451	228	353	284
HMPREF0946_RS00520	NC_022196.1	113108	114253	-	1146	155	101	161	245	229	203	108	145	95	206	467	177	499	286	185	150	231	181
HMPREF0946_RS00525	NC_022196.1	114240	114524	-	285	56	54	62	68	94	67	28	36	37	364	416	335	376	233	185	110	148	142
HMPREF0946_RS00530	NC_022196.1	114648	115355	-	708	138	61	107	130	191	155	122	116	121	123	239	124	241	153	145	110	111	101
HMPREF0946_RS00535	NC_022196.1	115352	116065	-	714	212	104	184	238	178	235	153	180	98	44	92	53	109	45	57	35	66	53
HMPREF0946_RS00540	NC_022196.1	116376	116810	-	435	135	167	137	184	215	268	115	133	118	252	351	234	424	237	251	121	143	113
HMPREF0946_RS00545	NC_022196.1	116816	117469	-	654	47	66	143	65	102	87	39	34	37	182	305	145	336	276	133	92	129	143
HMPREF0946_RS00550	NC_022196.1	117469	118419	-	951	168	141	138	254	223	271	131	172	107	259	370	177	412	236	196	111	109	151
glmU	NC_022196.1	118421	119764	-	1344	141	186	301	199	221	245	86	107	88	358	621	314	582	410	278	224	216	254
HMPREF0946_RS00560	NC_022196.1	119775	120416	-	642	412	359	398	430	412	502	243	291	274	788	1293	755	1406	928	852	526	567	608
HMPREF0946_RS00565	NC_022196.1	120597	121913	-	1317	154	186	321	288	346	365	104	155	119	7754	2447	6952	2695	1682	1339	974	1034	980
HMPREF0946_RS00570	NC_022196.1	122044	123426	-	1383	446	738	940	687	976	927	378	386	366	9782	3837	7543	4590	3052	2300	1441	1352	1653
HMPREF0946_RS00575	NC_022196.1	123707	124363	+	657	188	176	177	237	219	271	141	177	98	216	330	246	295	210	185	77	100	132
HMPREF0946_RS10990	NC_022196.1	124492	125698	-	1207	8035	4682	7668	6775	6520	8239	4594	5391	4280	11246	17538	33041	17643	10181	14102	27432	18035	25439
gltS	NC_022196.1;NC_022196.1	125937;1013550	127178;1014749	+;+	2442	414	599	920	608	769	758	290	318	305	13081	5892	10882	7205	4685	3682	2591	2325	2621
HMPREF0946_RS00595	NC_022196.1	127310	128134	-	825	1240	1941	2572	1798	2541	2259	831	973	834	1782	2694	1542	2947	2028	1603	1087	970	1273
HMPREF0946_RS00600	NC_022196.1	128184	128969	-	786	126	108	105	105	149	131	62	72	81	250	1151	294	1268	771	617	608	701	659
HMPREF0946_RS00605	NC_022196.1	128969	129817	-	849	369	246	245	278	279	362	176	278	137	147	356	148	467	257	212	171	191	204
HMPREF0946_RS00610	NC_022196.1	129804	130934	-	1131	137	136	198	176	251	169	95	103	87	444	872	399	854	572	501	292	349	394
HMPREF0946_RS00615	NC_022196.1	131213	131452	-	240	66	71	96	93	115	92	38	44	47	43	169	31	196	105	82	48	67	107
HMPREF0946_RS00620	NC_022196.1	131671	131934	+	264	1920	2426	2854	2516	3299	2909	1224	1322	1309	1260	9969	1213	10987	6874	6189	4182	4442	4481
ptsP	NC_022196.1	132102	133817	+	1716	311	336	469	433	571	609	241	266	157	168	1160	160	1378	921	660	351	372	462
HMPREF0946_RS00630	NC_022196.1	134057	134449	+	393	21920	26556	26586	29297	37061	31706	14431	14735	11846	28754	75933	27298	85116	57781	49299	27684	24255	26841
HMPREF0946_RS00635	NC_022196.1	134501	135259	-	759	139	157	312	247	255	249	110	106	79	256	658	194	718	458	273	200	218	244
HMPREF0946_RS00640	NC_022196.1	135268	135789	-	522	32	32	43	35	37	32	14	19	14	28	71	32	70	50	31	27	23	36
HMPREF0946_RS00645	NC_022196.1	135803	137155	-	1353	112	95	125	123	140	165	81	82	83	251	721	258	768	467	377	329	410	373
HMPREF0946_RS00650	NC_022196.1	137149	137631	-	483	10	27	23	39	31	23	16	13	12	52	129	37	123	77	68	24	49	60
rfaE1	NC_022196.1	137625	138605	-	981	2182	1251	1408	3649	2910	4168	2405	3194	1702	344	531	321	624	425	435	283	292	303
HMPREF0946_RS00660	NC_022196.1	138742	139218	+	477	11	19	9	11	16	31	9	9	5	75	69	62	77	55	52	36	28	30
HMPREF0946_RS00665	NC_022196.1	139242	139703	+	462	95	105	116	100	147	164	66	71	38	462	670	370	708	513	329	191	167	246
HMPREF0946_RS00670	NC_022196.1	139721	140176	+	456	133	137	210	167	217	237	103	143	83	333	522	280	674	442	277	159	152	217
HMPREF0946_RS00675	NC_022196.1	140210	140665	+	456	934	1353	1453	1268	1753	1666	773	825	631	3573	3219	2970	3803	2745	2216	1226	1099	1373
eutJ	NC_022196.1	140925	141749	-	825	230	265	329	286	369	343	156	162	149	516	884	468	932	621	405	390	354	446
HMPREF0946_RS00685	NC_022196.1	141936	142205	+	270	169	126	167	149	227	152	87	110	87	737	1082	525	1151	814	605	386	337	369
HMPREF0946_RS00690	NC_022196.1	142211	144694	+	2484	550	814	957	856	1140	1092	502	424	322	2713	3743	2395	3905	2762	1841	1087	1025	1253
HMPREF0946_RS00695	NC_022196.1	144784	145530	+	747	149	123	134	175	199	167	129	152	103	187	374	177	341	231	187	135	93	123
pykF	NC_022196.1	147014	148432	+	1419	566	775	1102	769	1053	911	428	312	350	1030	8232	906	9367	6386	4840	2845	3133	3516
eno	NC_022196.1	148458	149762	+	1305	1421	2608	3511	2514	3404	3081	1157	1207	932	1119	7292	854	8324	5715	3793	2150	1996	2551
HMPREF0946_RS00780	NC_022196.1	149892	150449	+	558	228	325	379	218	335	322	155	102	128	851	763	810	720	471	339	208	209	228
HMPREF0946_RS00795	NC_022196.1	150978	151928	+	951	21	22	17	32	14	26	15	12	6	26	34	28	35	18	20	19	9	12
HMPREF0946_RS00800	NC_022196.1	152015	152227	+	213	707	1315	628	871	1394	1058	435	429	401	2912	3096	2944	2916	2362	2184	1174	826	1124
HMPREF0946_RS00805	NC_022196.1	152497	154215	+	1719	118	129	180	141	154	186	112	94	87	270	271	251	298	248	154	97	80	97
HMPREF0946_RS00810	NC_022196.1	154228	154446	+	219	5	2	2	4	7	5	2	2	0	5	1	1	4	3	2	1	2	1
HMPREF0946_RS00815	NC_022196.1	154446	154886	+	441	7	1	8	6	4	13	6	8	2	12	16	6	11	8	5	9	2	5
HMPREF0946_RS00820	NC_022196.1	154898	156469	+	1572	3652	1993	2007	4561	3777	5788	3455	4511	3111	157	420	223	367	248	405	318	328	213
HMPREF0946_RS00825	NC_022196.1	156482	156976	+	495	156	51	98	166	177	200	119	134	80	21	41	21	37	34	32	16	16	24
HMPREF0946_RS00830	NC_022196.1	157081	158118	+	1038	276	615	979	585	862	732	256	226	157	586	806	420	793	581	378	257	246	262
HMPREF0946_RS00835	NC_022196.1	158190	160591	+	2402	1788	1578	1712	2046	2385	2644	1397	1596	1902	1872	1615	2069	1688	1179	1165	641	646	624
HMPREF0946_RS00870	NC_022196.1	161659	161913	+	255	319	703	1080	489	756	639	280	294	173	100	1336	99	1809	1234	901	524	587	670
HMPREF0946_RS00875	NC_022196.1	162090	162824	+	735	56	40	54	75	82	105	59	54	50	318	60	250	73	63	38	37	27	29
HMPREF0946_RS00880	NC_022196.1	162830	164194	+	1365	45	34	67	55	78	61	38	44	30	358	133	280	125	82	69	50	36	53
HMPREF0946_RS00885	NC_022196.1	164203	164730	+	528	38	27	32	30	27	38	30	24	39	252	58	187	94	54	30	21	24	30
HMPREF0946_RS00890	NC_022196.1	165042	168116	+	3075	1085	887	1115	1510	1466	1738	982	1125	597	584	1057	603	1080	670	607	398	394	457
HMPREF0946_RS00895	NC_022196.1	168284	169672	+	1389	132	132	170	114	166	202	111	108	78	307	442	256	471	300	190	164	125	167
HMPREF0946_RS00900	NC_022196.1	169682	170041	+	360	65	125	140	118	154	166	54	59	64	133	187	136	187	115	121	62	71	58
HMPREF0946_RS00920	NC_022196.1	175211	176545	-	1335	285	291	299	350	321	357	194	223	199	1437	1548	1668	1602	998	850	874	841	823
HMPREF0946_RS00925	NC_022196.1	176669	178306	-	1638	220	221	329	335	347	291	152	170	165	828	626	698	665	425	309	227	200	252
HMPREF0946_RS00930	NC_022196.1	178521	179210	+	690	65	81	129	92	95	97	48	66	38	116	1144	141	644	374	334	446	626	658
